,专用设备制造业规模以上工业企业主营业务成本,仪器仪表制造业规模以上工业企业主营业务成本,其他制造业规模以上工业企业主营业务成本,其他采矿业规模以上工业企业主营业务成本,农副食品加工业规模以上工业企业主营业务成本,化学原料和化学制品制造业规模以上工业企业主营业务成本,化学纤维制造业规模以上工业企业主营业务成本,医药制造业规模以上工业企业主营业务成本,印刷和记录媒介复制业规模以上工业企业主营业务成本,家具制造业规模以上工业企业主营业务成本,废弃资源综合利用业规模以上工业企业主营业务成本,开采辅助活动规模以上工业企业主营业务成本,文教、工美、体育和娱乐用品制造业规模以上工业企业主营业务成本,有色金属冶炼和压延加工业规模以上工业企业主营业务成本,有色金属矿采选业规模以上工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业规模以上工业企业主营业务成本,橡胶和塑料制品业规模以上工业企业主营业务成本,水的生产和供应业规模以上工业企业主营业务成本,汽车制造业规模以上工业企业主营业务成本,烟草制品业规模以上工业企业主营业务成本,煤炭开采和洗选业规模以上工业企业主营业务成本,燃气生产和供应业规模以上工业企业主营业务成本,电力、热力生产和供应业规模以上工业企业主营业务成本,电气机械和器材制造业规模以上工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业主营业务成本,石油加工、炼焦和核燃料加工业规模以上工业企业主营业务成本,石油和天然气开采业规模以上工业企业主营业务成本,纺织业规模以上工业企业主营业务成本,纺织服装、服饰业规模以上工业企业主营业务成本,规模以上工业企业主营业务成本,计算机、通信和其他电子设备制造业规模以上工业企业主营业务成本,通用设备制造业规模以上工业企业主营业务成本,造纸和纸制品业规模以上工业企业主营业务成本,酒、饮料和精制茶制造业规模以上工业企业主营业务成本,金属制品、机械和设备修理业规模以上工业企业主营业务成本,金属制品业规模以上工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备规模以上工业企业主营业务成本,非金属矿物制品业规模以上工业企业主营业务成本,非金属矿采选业规模以上工业企业主营业务成本,食品制造业规模以上工业企业主营业务成本,黑色金属冶炼和压延加工业规模以上工业企业主营业务成本,黑色金属矿采选业规模以上工业企业主营业务成本
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
