,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,仪器仪表及文化、办公用机械制造业大中型工业企业应交所得税,其他采矿业大中型工业企业应交所得税,农副食品加工业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,印刷业和记录媒介的复制大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,工艺品及其他制造业大中型工业企业应交所得税,废弃资源和废旧材料回收加工业大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,水的生产和供应业大中型工业企业应交所得税,烟草制品业大中型工业企业应交所得税,煤炭开采和洗选业大中型工业企业应交所得税,燃气生产和供应业大中型工业企业应交所得税,电力、热力的生产和供应业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应交所得税,石油加工、炼焦及核燃料加工业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,纺织服装、鞋、帽制造业大中型工业企业应交所得税,通信设备、计算机及其他电子设备制造大中型工业企业应交所得税,通用设备制造业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,非金属矿物制品业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
